medicineId,soldMedicineTimes,month
4,2,2017-01
31,1,2017-01
44,1,2017-01
46,1,2017-01
59,1,2017-01
66,1,2017-01
72,1,2017-01
77,1,2017-01
81,1,2017-01
82,1,2017-01
86,1,2017-01
99,1,2017-01
101,1,2017-01
110,1,2017-01
115,1,2017-01
125,1,2017-01
127,1,2017-01
128,1,2017-01
137,1,2017-01
147,1,2017-01
151,1,2017-01
159,1,2017-01
163,1,2017-01
164,1,2017-01
173,1,2017-01
179,1,2017-01
213,1,2017-01
217,1,2017-01
222,1,2017-01
226,1,2017-01
237,1,2017-01
260,1,2017-01
265,1,2017-01
279,1,2017-01
283,1,2017-01
287,1,2017-01
292,1,2017-01
305,1,2017-01
315,1,2017-01
317,1,2017-01
325,1,2017-01
356,1,2017-01
358,1,2017-01
381,1,2017-01
386,1,2017-01
409,1,2017-01
410,1,2017-01
420,1,2017-01
421,1,2017-01
424,1,2017-01
431,1,2017-01
434,1,2017-01
443,2,2017-01
447,1,2017-01
459,1,2017-01
466,1,2017-01
470,1,2017-01
491,1,2017-01
497,1,2017-01
499,1,2017-01
506,1,2017-01
529,1,2017-01
541,1,2017-01
547,1,2017-01
558,1,2017-01
567,1,2017-01
573,1,2017-01
588,1,2017-01
593,1,2017-01
597,1,2017-01
628,1,2017-01
637,1,2017-01
648,1,2017-01
652,1,2017-01
655,1,2017-01
663,1,2017-01
665,1,2017-01
675,1,2017-01
685,1,2017-01
687,1,2017-01
694,1,2017-01
696,1,2017-01
699,1,2017-01
728,1,2017-01
729,1,2017-01
750,2,2017-01
751,1,2017-01
755,1,2017-01
792,1,2017-01
802,1,2017-01
818,1,2017-01
821,1,2017-01
823,1,2017-01
833,1,2017-01
857,1,2017-01
859,1,2017-01
868,1,2017-01
875,1,2017-01
883,1,2017-01
886,1,2017-01
892,1,2017-01
937,1,2017-01
943,1,2017-01
971,1,2017-01
999,1,2017-01
1006,1,2017-01
1018,1,2017-01
1019,1,2017-01
1036,1,2017-01
1037,1,2017-01
1038,1,2017-01
1059,1,2017-01
1083,1,2017-01
1088,1,2017-01
1096,1,2017-01
1115,1,2017-01
1117,1,2017-01
1122,1,2017-01
1153,1,2017-01
1157,2,2017-01
1164,1,2017-01
1181,1,2017-01
1187,1,2017-01
1188,1,2017-01
1193,1,2017-01
1212,1,2017-01
1214,1,2017-01
1218,1,2017-01
1229,1,2017-01
1234,1,2017-01
1266,1,2017-01
1305,1,2017-01
1322,2,2017-01
1325,1,2017-01
1337,1,2017-01
1338,2,2017-01
1384,1,2017-01
1390,1,2017-01
1395,1,2017-01
1405,1,2017-01
1441,1,2017-01
1448,1,2017-01
1513,1,2017-01
1519,1,2017-01
1521,1,2017-01
1528,1,2017-01
1537,1,2017-01
1542,1,2017-01
1546,1,2017-01
1571,1,2017-01
1576,1,2017-01
1583,2,2017-01
1591,1,2017-01
1603,2,2017-01
1621,1,2017-01
1631,1,2017-01
1634,1,2017-01
1637,2,2017-01
1640,1,2017-01
1652,1,2017-01
1679,1,2017-01
1680,1,2017-01
1692,1,2017-01
1705,2,2017-01
1707,1,2017-01
1709,1,2017-01
1715,1,2017-01
1728,1,2017-01
1761,1,2017-01
1777,1,2017-01
1788,1,2017-01
1812,1,2017-01
1826,1,2017-01
1830,1,2017-01
1836,1,2017-01
1840,1,2017-01
1845,1,2017-01
1855,1,2017-01
1861,1,2017-01
1878,1,2017-01
1880,1,2017-01
1894,1,2017-01
1896,2,2017-01
1904,1,2017-01
1908,1,2017-01
1921,1,2017-01
1925,2,2017-01
1932,1,2017-01
1934,1,2017-01
1949,1,2017-01
1988,1,2017-01
1999,1,2017-01
2002,1,2017-01
2009,1,2017-01
2010,1,2017-01
2014,2,2017-01
2040,1,2017-01
2063,1,2017-01
2064,1,2017-01
2077,1,2017-01
2081,1,2017-01
2094,1,2017-01
2100,1,2017-01
2103,1,2017-01
2164,1,2017-01
2167,1,2017-01
2175,1,2017-01
2180,1,2017-01
2190,1,2017-01
2191,1,2017-01
2195,1,2017-01
2212,1,2017-01
2218,1,2017-01
2228,1,2017-01
2240,2,2017-01
2242,1,2017-01
2246,1,2017-01
2303,1,2017-01
2306,1,2017-01
2309,1,2017-01
2310,1,2017-01
2321,2,2017-01
2333,1,2017-01
2348,2,2017-01
2364,1,2017-01
2383,1,2017-01
2390,1,2017-01
2400,2,2017-01
2402,1,2017-01
2441,1,2017-01
2449,2,2017-01
2471,2,2017-01
2482,1,2017-01
2491,1,2017-01
2496,1,2017-01
2498,1,2017-01
2502,1,2017-01
2504,1,2017-01
2512,1,2017-01
2538,1,2017-01
2544,1,2017-01
2559,1,2017-01
2570,1,2017-01
2572,1,2017-01
2576,1,2017-01
2581,1,2017-01
2626,1,2017-01
2629,1,2017-01
2630,1,2017-01
2634,1,2017-01
2635,1,2017-01
2638,2,2017-01
2643,1,2017-01
2667,1,2017-01
2669,1,2017-01
2686,1,2017-01
2691,1,2017-01
2700,1,2017-01
2704,1,2017-01
2714,2,2017-01
2716,1,2017-01
2748,1,2017-01
2754,1,2017-01
2761,1,2017-01
2762,1,2017-01
2781,1,2017-01
2783,1,2017-01
2801,1,2017-01
2815,1,2017-01
2836,1,2017-01
2840,1,2017-01
2849,1,2017-01
2862,1,2017-01
2886,1,2017-01
2896,1,2017-01
2913,1,2017-01
2920,1,2017-01
2959,1,2017-01
2964,1,2017-01
2966,2,2017-01
2969,1,2017-01
2979,1,2017-01
2983,1,2017-01
2998,1,2017-01
3039,2,2017-01
3040,1,2017-01
3066,1,2017-01
3071,1,2017-01
3082,1,2017-01
3091,1,2017-01
3092,1,2017-01
3096,1,2017-01
3110,1,2017-01
3111,1,2017-01
3115,1,2017-01
3116,1,2017-01
3135,1,2017-01
3165,1,2017-01
3172,1,2017-01
3173,1,2017-01
3186,1,2017-01
3196,1,2017-01
3201,1,2017-01
3225,1,2017-01
3228,1,2017-01
3231,1,2017-01
3245,1,2017-01
3249,1,2017-01
3258,1,2017-01
3262,1,2017-01
3265,1,2017-01
3275,1,2017-01
3277,2,2017-01
3278,1,2017-01
3280,1,2017-01
3299,1,2017-01
3301,1,2017-01
3326,2,2017-01
3333,1,2017-01
3334,1,2017-01
3335,1,2017-01
3347,1,2017-01
3365,1,2017-01
3370,1,2017-01
3379,1,2017-01
3383,1,2017-01
3404,1,2017-01
3420,1,2017-01
3449,1,2017-01
3452,1,2017-01
3467,1,2017-01
3509,1,2017-01
3512,1,2017-01
3526,1,2017-01
3561,1,2017-01
3564,1,2017-01
3575,1,2017-01
3582,1,2017-01
3593,1,2017-01
3634,1,2017-01
3637,1,2017-01
3660,1,2017-01
3676,1,2017-01
3712,1,2017-01
3714,1,2017-01
3729,1,2017-01
3732,1,2017-01
3753,1,2017-01
3754,1,2017-01
3755,1,2017-01
3758,1,2017-01
3794,1,2017-01
3798,1,2017-01
3807,1,2017-01
3811,1,2017-01
3828,1,2017-01
3830,2,2017-01
3838,1,2017-01
3846,2,2017-01
3851,1,2017-01
3862,1,2017-01
3865,1,2017-01
3869,1,2017-01
3875,1,2017-01
3878,1,2017-01
3883,2,2017-01
3884,1,2017-01
3937,1,2017-01
3947,1,2017-01
3958,1,2017-01
3961,1,2017-01
3980,1,2017-01
3982,1,2017-01
3989,1,2017-01
3998,1,2017-01
4039,1,2017-01
4053,1,2017-01
4070,1,2017-01
4078,1,2017-01
4084,1,2017-01
4094,1,2017-01
4099,1,2017-01
4101,1,2017-01
4108,1,2017-01
4117,1,2017-01
4137,1,2017-01
4149,1,2017-01
4164,1,2017-01
4186,1,2017-01
4199,1,2017-01
4208,1,2017-01
4239,1,2017-01
4287,1,2017-01
4294,1,2017-01
4301,1,2017-01
4313,1,2017-01
4315,1,2017-01
4345,1,2017-01
4356,2,2017-01
4359,1,2017-01
4376,1,2017-01
4378,1,2017-01
4383,1,2017-01
4437,1,2017-01
4439,1,2017-01
4463,1,2017-01
4480,1,2017-01
4492,1,2017-01
4497,1,2017-01
4516,1,2017-01
4521,1,2017-01
4554,2,2017-01
4564,1,2017-01
4571,1,2017-01
4573,1,2017-01
4576,1,2017-01
4577,1,2017-01
4585,1,2017-01
4586,1,2017-01
4587,1,2017-01
4599,1,2017-01
4603,1,2017-01
4604,2,2017-01
4617,1,2017-01
4631,1,2017-01
4664,1,2017-01
4684,1,2017-01
4727,1,2017-01
4746,1,2017-01
4748,2,2017-01
4750,1,2017-01
4767,1,2017-01
4776,1,2017-01
4780,1,2017-01
4793,1,2017-01
4796,1,2017-01
4803,1,2017-01
4807,1,2017-01
4809,1,2017-01
4813,1,2017-01
4817,1,2017-01
4820,1,2017-01
4831,1,2017-01
4902,1,2017-01
4915,1,2017-01
4916,1,2017-01
4918,2,2017-01
4927,2,2017-01
4930,1,2017-01
4945,1,2017-01
4946,1,2017-01
4947,1,2017-01
4948,1,2017-01
4957,1,2017-01
4971,1,2017-01
4972,1,2017-01
4974,1,2017-01
4988,1,2017-01
4996,1,2017-01
5019,1,2017-01
5026,1,2017-01
5028,1,2017-01
5032,1,2017-01
5045,1,2017-01
5055,2,2017-01
5056,1,2017-01
5063,1,2017-01
5066,1,2017-01
5084,1,2017-01
5088,1,2017-01
5091,1,2017-01
5097,1,2017-01
5106,1,2017-01
5110,1,2017-01
5118,1,2017-01
5124,1,2017-01
